# The solar cycles the record spans.
#
# Source: NGDC DSD/DGD annual summaries via prf_indices_fetch.m, built 2026-07-31T19:42:22.
# Boundaries from SIDC/NOAA official minima, measured on f107. Derived, not measured.
# Three cycles are a small sample: the repeat statistics beside this file are
# descriptive of these three and are not a population.
#
# Columns:
#   cycle         cycle number
#   start         first day of the cycle
#   end           last day of it
#   peak          peak value of f107
#   peak_date     the day it peaked
#   length_years  cycle length, years
#
cycle,start,end,peak,peak_date,length_years
23,1997-01-15,2008-12-01,196.4,2002-03-15,11.88
24,2008-12-01,2019-12-01,146.1,2014-06-15,11
25,2019-12-01,2025-12-15,192.2,2024-08-15,6.04
